"","TimeofDay","HighCorrPositivelag","HighCorrNegativelag","Enthusiasticlag","Relaxedlag","Sadlag","Nervouslag","Stressedlag","MWoccurlag","EmotionChronometrylag","HighCorrPositive","HighCorrNegative","Enthusiastic","Relaxed","Sad","Nervous","Stressed","MWoccur","EmotionChronometry"
"TimeofDay",1,0.0205,-0.0958,0.3694,-0.1081,-0.0062,0.1301,-0.1288,-0.0936,-0.0569,0,0,0,0,0,0,0,0,0
"HighCorrPositivelag",0.0205,1,-0.6956,0.6164,0.5085,-0.7491,-0.3831,-0.3585,-0.3098,0.1045,0,0,0,0,0,0,0,0,0
"HighCorrNegativelag",-0.0958,-0.6956,1,-0.4829,-0.6601,0.8162,0.5538,0.5831,0.396,-0.0161,0,0,0,0,0,0,0,0,0
"Enthusiasticlag",0.3694,0.6164,-0.4829,1,0.227,-0.5417,-0.0448,-0.1849,-0.1222,0.0411,0,0,0,0,0,0,0,0,0
"Relaxedlag",-0.1081,0.5085,-0.6601,0.227,1,-0.5656,-0.695,-0.7612,-0.3324,-0.1893,0,0,0,0,0,0,0,0,0
"Sadlag",-0.0062,-0.7491,0.8162,-0.5417,-0.5656,1,0.3509,0.3725,0.3579,-0.0869,0,0,0,0,0,0,0,0,0
"Nervouslag",0.1301,-0.3831,0.5538,-0.0448,-0.695,0.3509,1,0.8379,0.2458,0.1839,0,0,0,0,0,0,0,0,0
"Stressedlag",-0.1288,-0.3585,0.5831,-0.1849,-0.7612,0.3725,0.8379,1,0.2957,0.1969,0,0,0,0,0,0,0,0,0
"MWoccurlag",-0.0936,-0.3098,0.396,-0.1222,-0.3324,0.3579,0.2458,0.2957,1,0.0122,0,0,0,0,0,0,0,0,0
"EmotionChronometrylag",-0.0569,0.1045,-0.0161,0.0411,-0.1893,-0.0869,0.1839,0.1969,0.0122,1,0,0,0,0,0,0,0,0,0
"HighCorrPositive",0,0,0,0,0,0,0,0,0,0,0.7188,0,0,0,0,0,0,0,0
"HighCorrNegative",0,0,0,0,0,0,0,0,0,0,0,0.4171,0,0,0,0,0,0,0
"Enthusiastic",0,0,0,0,0,0,0,0,0,0,0,0,0.519,0,0,0,0,0,0
"Relaxed",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2914,0,0,0,0,0
"Sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2253,0,0,0,0
"Nervous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2425,0,0,0
"Stressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3878,0,0
"MWoccur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8357,0
"EmotionChronometry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9893
