"","TimeofDay","HighCorrPositivelag","HighCorrNegativelag","Enthusiasticlag","Relaxedlag","Sadlag","Nervouslag","Stressedlag","MWoccurlag","EmotionChronometrylag","HighCorrPositive","HighCorrNegative","Enthusiastic","Relaxed","Sad","Nervous","Stressed","MWoccur","EmotionChronometry"
"TimeofDay",1.0621,-0.1286,0.0471,-0.0724,-0.162,0.0855,0.0091,0.0214,0.2447,-0.1982,0,0,0,0,0,0,0,0,0
"HighCorrPositivelag",-0.1286,0.3227,-0.0798,0.14,0.2198,-0.1977,-0.1096,-0.0782,0.0989,0.0242,0,0,0,0,0,0,0,0,0
"HighCorrNegativelag",0.0471,-0.0798,0.2031,-0.0376,-0.1381,0.045,0.085,0.061,-0.0594,0.0011,0,0,0,0,0,0,0,0,0
"Enthusiasticlag",-0.0724,0.14,-0.0376,0.156,0.0828,-0.0705,-0.0381,0.0032,0.0806,0.0214,0,0,0,0,0,0,0,0,0
"Relaxedlag",-0.162,0.2198,-0.1381,0.0828,0.4626,-0.0912,-0.1045,-0.1211,0.0184,-0.0073,0,0,0,0,0,0,0,0,0
"Sadlag",0.0855,-0.1977,0.045,-0.0705,-0.0912,0.4101,0.1222,0.0705,-0.0931,8e-04,0,0,0,0,0,0,0,0,0
"Nervouslag",0.0091,-0.1096,0.085,-0.0381,-0.1045,0.1222,0.1789,0.0809,-0.0696,-0.017,0,0,0,0,0,0,0,0,0
"Stressedlag",0.0214,-0.0782,0.061,0.0032,-0.1211,0.0705,0.0809,0.0891,-0.078,0.0317,0,0,0,0,0,0,0,0,0
"MWoccurlag",0.2447,0.0989,-0.0594,0.0806,0.0184,-0.0931,-0.0696,-0.078,1.0638,-0.1102,0,0,0,0,0,0,0,0,0
"EmotionChronometrylag",-0.1982,0.0242,0.0011,0.0214,-0.0073,8e-04,-0.017,0.0317,-0.1102,0.4896,0,0,0,0,0,0,0,0,0
"HighCorrPositive",0,0,0,0,0,0,0,0,0,0,0.1404,0,0,0,0,0,0,0,0
"HighCorrNegative",0,0,0,0,0,0,0,0,0,0,0,0.1063,0,0,0,0,0,0,0
"Enthusiastic",0,0,0,0,0,0,0,0,0,0,0,0,0.0809,0,0,0,0,0,0
"Relaxed",0,0,0,0,0,0,0,0,0,0,0,0,0,0.3146,0,0,0,0,0
"Sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0,0,0,0
"Nervous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1074,0,0,0
"Stressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0
"MWoccur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0
"EmotionChronometry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4174
